Name,Question,Answer
Vera PDF,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Vera PDF</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A free and open source tool for the validation of PDF/A files. Vera PDF Provides some support for other PDF variants.</p>"
jpylyzer,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">jpylyzer</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A tool written in Python that characterizes JPEG2000 (JP2) files. Important in digitization workflows where JP2 is now taking a place for the savings in storage space over TIF.</p>"
droidsfmin,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">droidsfmin</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A tool by Martin Hoppenheit to reduce the number of signatures in the DROID signature file, e.g. for the purpose of quicker identification in image format only digitization workflows.</p>"
Rosetta,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Rosetta</strong></span></p>","<p class=""medium"" style=""text-align: center;"">A large scale, OAIS (Open Archival Information System) compliant, system that implements large pieces of the digital preservation workflow from ingest to delivery. Rosetta is maintained by the company Ex Libris.</p>"
RODA,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">RODA</span></strong></p>","<p class=""medium"" style=""text-align: center;"">RODA is an open-source digital repository designed for preservation developed in Portugal. The repository supports all the main functional components of the OAIS model. </p>"
Archivematica,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Archivematica</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Open source digital preservation system maintained by Artefactual. Younger than Preservica and Rosetta, Archivematica has a growing user-base, and a different support model to the two mentioned.</p>"
Preservica,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Preservica</strong></span></p>","<p class=""medium"" style=""text-align: center;"">Originally called Safety Deposit Box, Preservica is an OAIS compliant digital preservation system maintained by Preservica in Abingdon, Oxford, UK.</p>"
Safety Deposit Box,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Safety Deposit Box</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The first four implementations of the Preservica digital preservation system went under the name Safety Deposit Box, organisations such as The National Archives, UK, and Swiss Federal Archive, were some of the first to adopt this system.</p>"
Apache Tika,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Apache Tika</strong></span></p>","<p class=""medium"" style=""text-align: center;"">A tool maintained by the Apache Software Foundation capable of extracting metadata and content from a range of file formats including PDF, Microsoft Office, Rich Text Format, and XML.</p>"
dfir.training,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">dfir.training</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A registry of digital forensics tools and training courses developed in 2016 that will prove useful for finding tools for dissecting and interpreting digital files for preservation and access.</p>"
Just Solve the File Format Problem,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Just Solve the File Format Problem</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A wiki style registry of file formats that can be edited by all users. It differs from PRONOM in the regard that anyone can add information, and so it is a good idea to submit something to this wiki first, or in concert with PRONOM, for the benefit of the community.</p><p class=""medium"" style=""text-align: center;"">Just Solve It, is an initiative of the Internet Archive.</p>"
Write Blocker,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Write Blocker</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Forensics hardware that blocks the ability to write to a storage device, thus protecting data and its evidentiary value. Write blocking tools are available from companies such as Tableau and Wiebetech.</p>"
KryoFlux,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>KryoFlux</strong></span></p>","<p class=""medium"" style=""text-align: center;"">USB controller and write blocker for legacy floppy disk drives. It allows us to use 3.5-inch and 5.25-inch disk drives on modern computer hardware. </p>"
Supercard Pro,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">SuperCard Pro</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A USB controller and write blocker for legacy floppy disk drives, specifically 3.5-inch and 5.25-inch disk drives. One of a handful of alternatives to KryoFlux.</p>"
Twitter,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Twitter</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A useful way for those in digital preservation to connect with the community. An active forum with lots of branches out to other resources.</p>"
Trove,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Trove</span></strong></p>","<ul>	<li class=""medium"">A portal, search engine, and API that connects metadata about content at Australian GLAM institutions.</li>	<li class=""medium"">TROVE makes this information findable.</li>	<li class=""medium"">Trove is a collaboration between National Library, Australia's State and Territory libraries.</li></ul>"
Coptr,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>COPTR</strong></span></p>","<ul>	<li class=""medium"">A technical registry that describes tools useful for long term digital preservation.</li>	<li class=""medium"">Acts primarily as a finding and evaluation tool to help practitioners find the tools they need to preserve digital data.</li>	<li class=""medium"">COPTR collates this knowledge in one place instead of organisations competing against each other with their own registries.</li></ul>"
TWARC,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">TWARC</span></strong></p>","<ul>	<li class=""medium"">'Twitter’ archiving (twarc) is a command line tool and Python library for archiving Twitter JSON data.</li>	<li class=""medium"">Each tweet is represented as a JSON object that is exactly what was returned from the Twitter API.</li>	<li class=""medium"">In addition to letting you collect tweets Twarc can also help you collect data on users, and trends.</li></ul>"
WARC,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">WARC</span></strong></p>","<ul>	<li class=""medium"">Also known as ISO 28500:2009.</li>	<li class=""medium"">A standardised file format for storing the result of a web crawl – the output of a web archiving effort.</li>	<li class=""medium"">WARC files many aggregate WARC records.</li>	<li class=""medium"">WARC can encode any other file format – as you’d expect of any potential digital object on the web.</li></ul>"
Wayback Machine,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Wayback Machine</strong></span></p>","<p class=""medium"" style=""text-align: center;"">A search engine, and API for the archived web. Hosted by the Internet Archive, based in San Francisco.</p>"
Memento,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Memento</span></strong></p>","<p style=""text-align: center;"">A standard for accessing and interacting with various web archives across the globe. Based on existing internet standards and the capabilities of the Wayback Machine. </p>"
Shine,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Shine</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A search engine for the UK web archive at the British Library that enables both trend analysis, and content search and retrieval.</p>"
Nestor Seal,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">nestor Seal</span></strong></p>","<p class=""medium"" style=""text-align: center;"">An extended self-assessment process based on standard DIN31644 recognizing the trustworthiness of a digital archive.</p><p class=""medium"" style=""text-align: center;"">If a nestor assessment yields a positive result they are entitled to publicise this by using the nestor Seal for Trustworthy Digital Archives.</p>"
AV Preserve ISO 16363 Assessment,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>AV Preserve ISO 16363 Assessment</strong></span></p>","<p class=""medium"" style=""text-align: center;"">An assessment which determines how close a digital archive is to passing the benchmark for a Trusted Digital Repository (TDR). AVPreserve are one of the companies offering this service.</p>"
Bagit,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Bagit</span></strong></p>","<p style=""text-align: center;"">A method of packaging files and information about them for transferring across a network and into storage - a 'bag'. </p><p style=""text-align: center;"">Bags can potentially be used as submission ingest packages (SIPs) in a digital repository.</p>"
UK Web Archive,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>UK Web Archive (UKWA)</strong></span></p>","<p class=""medium"" style=""text-align: center;"">The UK Web Archive is hosted by the British Library and supported by a number of partners in the UK. Part of the collection is searchable and can be found online. Web archives collected under legal deposit law in the UK have their access restricted to various reading rooms in the UK.</p>"
UK Government Web Archive,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>UK Government Web Archive</strong></span></p>","<p class=""medium"" style=""text-align: center;"">The web archive of UK government maintained by The National Archives UK.</p><p class=""medium"" style=""text-align: center;"">The archive is an exemplar of why we archive the web, and good case-studies appear, for example, during a machinery of government change.</p><p class=""medium"" style=""text-align: center;"">The UK Government Web Archive also archives UK Government Twitter feeds.</p>"
Library Carpentry,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Library Carpentry</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A set of open source tutorials and lessons available on <a href=""https://github.com/LibraryCarpentry"">GitHub</a> to help teach librarians and archivists digital literacy skills required in this era.</p>"
The Signal,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>The Signal</strong></span></p>","<ul>	<li class=""medium"">The Library of Congress blog whose basic intent is to discuss digital stewardship.</li>	<li class=""medium"">The blog covers other aspects of computer technology, most especially management, transmission and use of data.</li>	<li class=""medium"">It covers new developments that have an impact on digital preservation and access.</li>	<li class=""medium"">Contributors come from across the archives and digital preservation community.</li></ul>"
OPF Blog,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>The OPF Blog</strong></span></p>","<p class=""medium"" style=""text-align: center;"">A blog hosted by the Open Preservation Foundation (OPF) that invites free and open discussion of digital preservation issues and the tools we use in the community.</p><p class=""medium"" style=""text-align: center;"">The blog has a low-barrier to authoring and is free to sign-up to; as such it has a wide and varied range of contributors, and blogs to read through.</p>"
Heritrix,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Heritrix</strong></span></p>","<p class=""medium"" style=""text-align: center;"">Heritrix is a web crawler created by the Internet Archive and was designed purposely for web archiving. The last stable release of Heritrix was in 2014.</p>"
Wget,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Wget</span></strong></p>","<p class=""medium"" style=""text-align: center;"">GNU Wget is a free utility for downloading files from the web. It supports HTTP, HTTPS, and FTP protocols, as well as retrieval through HTTP proxies. Wget is useful for scripting the download of files on the web via shell scripting tools such as Bash.</p>"
OAI-PMH,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>OAI-PMH</strong></span></p>","<p class=""medium"" style=""text-align: center;"">The Open Archives Initiative Protocol for Metadata Harvesting (<em><strong>OAI-PMH</strong></em>) is a protocol for exposing to the outside world what is held inside a digital repository, and has numerous applications such as enabling the transmission of metadata about items for an archival catalogue.</p>"
Hex Editor,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Hex Editor</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Hex (Hexadecimal) editor, e.g. HxD, are tools for representing the binary content of a file in hexadecimal form, usually in contiguous rows of bytes.</p><p class=""medium"" style=""text-align: center;"">A hex editor is often split into two view panes. The left pane showing the hexadecimal form of the binary content of a file. The right, showing the characters that can be rendered using the ASCII encoding scheme, or another scheme supported by the tool such as EBCDIC.</p><p class=""medium"" style=""text-align: center;"">Hex editors are impotant tools for developing file format signatures.</p>"
