Name,Question,Answer
Series System,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Series System</strong></span></p>","<ul>	<li class=""medium"">A collection of records organized by function, replacing the record group where the same function may be managed by different agencies over time.</li>	<li class=""medium"">The series model was developed in Australia by Peter Scott in the 1960s.</li>	<li class=""medium"">The system emphasises multiple and dynamic context for records and enables those contexts to be assigned to archival records.</li>	<li class=""medium"">Contextual entities described by Cunningham (2012), include individuals, families, organisations, project teams, government agencies and portfolios, governments themselves, functions and activities.</li></ul>"
Series,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Series</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A functional grouping of records.</p>"
Sub-series,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Sub-series</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A further grouping of records underneath a series, for example, by type, form, or content.</p>"
Appraisal ,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Appraisal</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Appraisal is the analysis of an organisation’s business context, business activities and risks. This will determine what information and records need to be created, what are of high risk/high value, and how long they need to be managed to meet business and community needs and expectations.</p>"
Retention and Disposal,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Retention and Disposal</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Organizational awareness of the types of record being maintained and how long they need to be kept to meet business needs, legal requirements, and in the case of government, the obligation to open and transparent government.</p>"
Disposal,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Disposal</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A means of controlling records at an organization through: retention, destruction, transfer, and in some cases, the sale of records to another organization, providing there is authorization to do so. An example disposal action may be transfer from a government agency to a government archive.</p>"
Disposal Authority,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Disposal Authority</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Description of appraised classes of records and the disposal action that is supposed to be applied to them and after what time. A disposal authority is signed by a suitable jurisdictional authority.</p>"
Sentencing,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Sentencing</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The application of disposal actions to a group of records in accordance with a suitable disposal authority.</p>"
"Information Asset (The National Archives, UK)","<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Information Asset (The National Archives, UK)</strong></span></p>","<p class=""medium"" style=""text-align: center;"">An information asset is a body of information, defined and managed as a single unit so it can be understood, shared, protected and exploited efficiently. Information assets have recognisable and manageable value.</p>"
Information Asset Register,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Information Asset Register</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A register of information assets that describes what they are, their value, their life-cycle, and risk profile.</p>"
Agency,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Agency</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A governmental department that transfers records to a national/government archive.</p>"
Donor,"<p class=""large"" style=""text-align: center;""><strong>Donor</strong></p>","<p class=""medium"" style=""text-align: center;"">An individual or organisation that donates records to an archival institution or library.</p>"
File Classification Scheme,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>File Classification Scheme</strong></span></p>","<p class=""medium"" style=""text-align: center;"">or Business Classification Scheme, is the folder and directory layout adopted in a business, organized by function, client, activity etc. Such that records are contextualized, described appropriately, and retrievable.</p>"
Collection Policy,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Collection Policy</span></strong></p>","<p class=""medium"" style=""text-align: center;"">A statement that describes the collecting principles of the archival institution which may include: legal obligations to collect; jurisdiction; geographical areas; chronological period; media-type; and collection methodology, plus other logical grouping of content relevant to the policy.</p>"
Fixity,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Fixity</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Fixity is the property of remaining fixed. That is, the features of a record that we can use to determine that a record has not been changed. Context, date ranges, materials used, and in the case of digital records, checksums enable us to demonstrate a record has not been modified. Fixity is key in demonstrating authenticity and integrity.</p>"
Information and Records Management,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Information and Records Management</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The management of information in an organization throughout its contexts.</p>"
Continuum Model,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Continuum Model</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The recognition that records are multi-dimensional and develop and gain new context and value across a continuous period of time (a continuum) across a number of organizations and activities as they are moved about and are reused.</p><p class=""medium"" style=""text-align: center;"">Records do not simply have a beginning and end of life with deprecating value as may be in a life-cycle approach to records and information management.</p>"
Intrinsic Value,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Intrinsic Value</span></strong></p>","<p class=""medium"" style=""text-align: center;"">Value intrinsic to a record that cannot alone be captured through copying or transcription.</p><p class=""medium"" style=""text-align: center;"">According to the Society of American Archivists the value intrinsic to the record may come from: form, layout, materials, or process. It may also be based on an item's direct relationship to a significant person, activity, event, organization, or place.</p>"
Create Maintain,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Create Maintain</strong></span></p>","<p class=""medium"" style=""text-align: center;"">The principle in records and information management that asks that records are created with a long-term view to their maintenance with consideration given to the record keeping obligations of the organization. Organizations will consider application of disposal classes at point of creation, as well as considering other legislative requirements, obligations to transparency and stakeholders, amongst other dimensions of the records and information management continuum.</p>"
Physical Carrier,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Physical Carrier</span></strong></p>","<p class=""medium"" style=""text-align: center;"">The medium on which digital records have been transferred to an organization.</p>"
Participatory Archives,"<p class=""large"" style=""text-align: center;""><strong><span class=""large"">Participatory Archives</span></strong></p>","<p class=""medium"" style=""text-align: center;"">An archive or collection that seeks active engagement from the community, causes, organisations, and activities that it represents. Custodial control and maintenance of the archive may support the development of archival skills within that community to develop and maintain the collection further. A post-custodial view would see the control of the archive passed from the archival professionals to the community.</p>"
Cardigan,"<p class=""large"" style=""text-align: center;""><span class=""large""><strong>Cardigan</strong></span></p>","<p class=""medium"" style=""text-align: center;"">Knitwear. A preferred sartorial choice made by the discerning archivist.</p>"
